weapon found,id,city,county,day,month,year
no,463,Albany,Alameda,8,8,2018
no,606,Albany,Alameda,23,4,2016
no,490,Albany,Alameda,8,8,2018
yes,260,Bakersfield,Kern,4,9,2017
yes,584,Bakersfield,Kern,27,1,2019
no,289,Bakersfield,Kern,5,3,2016
no,259,Bakersfield,Kern,17,5,2015
no,276,Bakersfield,Kern,24,11,2017
no,280,Bakersfield,Kern,15,11,2016
no,344,Bakersfield,Kern,18,7,2017
no,351,Bakersfield,Kern,9,12,2017
no,307,Bakersfield,Kern,31,5,2017
yes,272,Bakersfield,Kern,13,2,2017
yes,253,Bakersfield,Kern,19,1,2017
yes,312,Bakersfield,Kern,17,12,2016
yes,326,Bakersfield,Kern,17,3,2015
yes,376,Bakersfield,Kern,31,3,2016
yes,586,Bakersfield,Kern,20,1,2019
yes,314,Bakersfield,Kern,2,10,2016
yes,365,Bakersfield,Kern,4,4,2017
no,251,Bakersfield,Kern,6,4,2016
no,261,Bakersfield,Kern,23,12,2017
no,271,Bakersfield,Kern,29,9,2017
no,255,Bakersfield,Kern,14,9,2017
no,273,Bakersfield,Kern,21,1,2017
no,256,Bakersfield,Kern,24,11,2017
no,265,Bakersfield,Kern,23,12,2017
no,275,Bakersfield,Kern,11,10,2017
no,279,Bakersfield,Kern,12,10,2017
no,281,Bakersfield,Kern,17,5,2016
no,282,Bakersfield,Kern,13,9,2016
no,285,Bakersfield,Kern,17,10,2018
no,286,Bakersfield,Kern,21,1,2017
no,288,Bakersfield,Kern,31,5,2017
no,298,Bakersfield,Kern,21,3,2017
no,299,Bakersfield,Kern,13,9,2016
no,266,Bakersfield,Kern,4,11,2017
no,301,Bakersfield,Kern,18,6,2017
no,303,Bakersfield,Kern,5,3,2016
no,304,Bakersfield,Kern,10,5,2016
no,302,Bakersfield,Kern,27,4,2018
no,305,Bakersfield,Kern,13,6,2017
no,306,Bakersfield,Kern,18,6,2017
no,310,Bakersfield,Kern,16,2,2018
no,268,Bakersfield,Kern,17,10,2018
no,269,Bakersfield,Kern,27,4,2018
no,317,Bakersfield,Kern,15,5,2017
no,319,Bakersfield,Kern,26,4,2018
no,320,Bakersfield,Kern,17,5,2018
no,321,Bakersfield,Kern,26,4,2018
no,323,Bakersfield,Kern,15,11,2016
no,325,Bakersfield,Kern,10,5,2016
no,329,Bakersfield,Kern,25,6,2018
no,331,Bakersfield,Kern,9,12,2017
no,334,Bakersfield,Kern,4,11,2017
no,335,Bakersfield,Kern,13,6,2017
no,336,Bakersfield,Kern,17,2,2017
no,296,Bakersfield,Kern,17,5,2018
no,347,Bakersfield,Kern,12,2,2016
no,362,Bakersfield,Kern,17,2,2016
no,367,Bakersfield,Kern,4,7,2019
no,369,Bakersfield,Kern,18,7,2017
no,370,Bakersfield,Kern,25,6,2016
no,371,Bakersfield,Kern,7,4,2017
no,373,Bakersfield,Kern,19,4,2016
no,378,Bakersfield,Kern,17,10,2016
no,379,Bakersfield,Kern,27,8,2014
no,382,Bakersfield,Kern,20,9,2016
no,385,Bakersfield,Kern,19,4,2016
no,386,Bakersfield,Kern,17,10,2017
no,390,Bakersfield,Kern,21,7,2016
no,394,Bakersfield,Kern,2,10,2017
no,396,Bakersfield,Kern,5,7,2017
no,401,Bakersfield,Kern,12,12,2016
no,402,Bakersfield,Kern,21,7,2016
no,384,Bakersfield,Kern,1,5,2016
no,415,Bakersfield,Kern,1,5,2016
no,410,Bakersfield,Kern,2,10,2017
no,422,Bakersfield,Kern,2,10,2017
no,428,Bakersfield,Kern,25,6,2018
no,429,Bakersfield,Kern,12,2,2016
no,434,Bakersfield,Kern,11,7,2016
no,435,Bakersfield,Kern,2,10,2017
no,438,Bakersfield,Kern,2,3,2017
no,450,Bakersfield,Kern,29,9,2017
no,587,Bakersfield,Kern,16,9,2019
